"Name","Direction","Sample","Value","Gene"
"17Q24.3:AMP","AMP","DLBCL_C_D_PAIR9",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_DFCI_DLBCL_GOE05",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_DFCI_DLBCL_GOE07",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_DFCI_DLBCL_GOE08",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_DFCI_DLBCL_GOE16",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_DFCI_DLBCL_GOE17",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1065",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1098",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1304",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1395",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS146",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS148",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1546",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS155",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1583",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1620",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1668",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1683",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1757",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1899",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS1921",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2089",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2154",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2208",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2245",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2258",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2264",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2305",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2325",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2328",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2357",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2367",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2590",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2595",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2596",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2599",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2848",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS297",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS2978",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3085",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3200",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3204",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3219",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3245",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3271",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3309",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3387",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3499",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3615",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3749",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS378",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3808",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3809",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3820",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS3866",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4054",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4085",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4222",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4323",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4394",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4592",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4593",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4616",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4618",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS4619",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS762",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS843",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS88",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_LS951",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MAYO_DLBCL_234",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MAYO_DLBCL_3653",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MAYO_DLBCL_5613",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MAYO_DLBCL_7359",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F064AB",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F089_HCZ",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F089_MLB",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F132_MLM",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F139_AD",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F139_LJF",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F210_GWC",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F218_RAP",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F231_CAO",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F262_WLC",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F300_TBF",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F307_JPS",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F339_JPS2",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F344_CJS",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F349_BJJ",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F358_WDS",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F362_MJB1",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F496DMP",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F500_ECU",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F502_RFK",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F519_ALT",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F606_DMJ",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F648_JKW",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F729_MAN",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F739_AMA3",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F815_BAT",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F886_EJH",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F925_DLR",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F927_JHS",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F959_ERM",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_MC_F990_MNA",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1013",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1018",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_102",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1032",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1045",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1046",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_105",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1060",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1061",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_107",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1072",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1081",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1106",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_111",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1138",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1144",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1150",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1165",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1169",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1190",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1192",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1199",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_120",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1204",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1210",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1219",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1235",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1237",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1247",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1248",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1257",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_126",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1263",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1269",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1278",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1283",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1287",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1289",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1293",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1299",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_1329",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_134",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_147",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_148",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_150",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_151",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_173",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_174",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_181",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_197",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_208",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_215",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_216",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_221",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_224",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_253",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_258",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_266",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_267",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_269",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_274",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_288",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_290",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_299",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_314",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_320",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_325",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_335",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_336",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_338",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_342",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_361",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_384",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_401",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_408",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_417",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_431",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_440",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_449",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_451",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_463",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_467",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_469",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_473",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_478",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_496",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_506",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_522",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_533",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_543",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_554",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_575",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_577",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_583",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_585",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_597",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_617",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_623",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_632",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_678",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_685",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_692",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_694",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_701",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_704",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_711",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_712",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_720",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_744",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_763",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_773",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_780",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_787",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_822",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_826",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_829",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_839",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_850",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_865",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_866",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_910",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_945",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_948",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_950",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_956",1,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_977",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_978",2,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_985",0,"GNA13"
"17Q24.3:AMP","AMP","DLBCL_RICOVER_99",0,"GNA13"
"2Q22.2:DEL","DEL","DFCIDL001_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL002_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL003_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL004_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL007_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL008_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL009_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DFCIDL010_DT",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_BWH_DLBCL64",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1103_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1104_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1105_NULLPAIR",1,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1106_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1107_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1108_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1109_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1110_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1111_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1112_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1113_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1114_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1115_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1117_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1118_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1119_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1120_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1121_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1123_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1124_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1125_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1126_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1127_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1128_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1129_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1130_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1131_NULLPAIR",1,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1132_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1133_NULLPAIR",0,"CXCR4"
"2Q22.2:DEL","DEL","DLBCL_C_D_1134_NULLPAIR",0,"CXCR4"
