"Peak","Subset","N","N_alt","Pct","OS_HR","OS_p","PFS_HR","PFS_p","Direction"
"5Q:AMP","C2",31,12,38.7,0.7,0.5642,1.52,0.4233,"BETTER"
"5Q:AMP","C3",27,3,11.1,0.62,0.649,0.46,0.4617,"BETTER"
"5Q:AMP","C4",21,2,9.5,0,0.9992,0,0.9987,"BETTER"
"5Q:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"6P:AMP","Global",127,24,18.9,1.14,0.7078,1.64,0.1142,"WORSE"
"6P:AMP","COO:GCB",41,10,24.4,0.64,0.4834,1.49,0.4217,"BETTER"
"6P:AMP","COO:ABC",48,9,18.8,2.63,0.0546,2.75,0.0393,"WORSE"
"6P:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"6P:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"6P:AMP","C2",31,11,35.5,1.03,0.9604,1.9,0.2268,"WORSE"
"6P:AMP","C3",27,5,18.5,0.26,0.2062,0.42,0.2671,"BETTER"
"6P:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"6P:AMP","C5",31,8,25.8,1.8,0.3018,1.94,0.2106,"WORSE"
"7P:AMP","Global",127,45,35.4,0.74,0.361,0.77,0.3649,"BETTER"
"7P:AMP","COO:GCB",41,20,48.8,0.49,0.1729,0.44,0.1035,"BETTER"
"7P:AMP","COO:ABC",48,11,22.9,1.31,0.6043,1.35,0.5385,"WORSE"
"7P:AMP","COO:Unclassified",13,3,23.1,1.03,0.9774,0.81,0.853,"WORSE"
"7P:AMP","C1",14,6,42.9,4334131216.11,0.9993,2981527277.71,0.9993,"WORSE"
"7P:AMP","C2",31,12,38.7,0.71,0.5827,0.87,0.786,"BETTER"
"7P:AMP","C3",27,10,37,0.46,0.2518,0.28,0.0626,"BETTER"
"7P:AMP","C4",21,10,47.6,0.79,0.7984,0.93,0.9347,"BETTER"
"7P:AMP","C5",31,7,22.6,0.46,0.3113,0.57,0.3884,"BETTER"
"7Q:AMP","Global",127,41,32.3,0.93,0.82,0.94,0.8335,"BETTER"
"7Q:AMP","COO:GCB",41,17,41.5,1.03,0.9613,0.89,0.813,"WORSE"
"7Q:AMP","COO:ABC",48,11,22.9,1.47,0.4679,1.49,0.4129,"WORSE"
"7Q:AMP","COO:Unclassified",13,3,23.1,1.03,0.9774,0.81,0.853,"WORSE"
"7Q:AMP","C1",14,6,42.9,4334131216.11,0.9993,2981527277.71,0.9993,"WORSE"
"7Q:AMP","C2",31,11,35.5,0.55,0.3641,0.75,0.6,"BETTER"
"7Q:AMP","C3",27,10,37,0.74,0.6252,0.5,0.2691,"BETTER"
"7Q:AMP","C4",21,7,33.3,1.66,0.5776,1.67,0.5744,"WORSE"
"7Q:AMP","C5",31,7,22.6,0.53,0.41,0.67,0.5314,"BETTER"
"9Q:AMP","Global",127,18,14.2,0.37,0.1001,0.54,0.196,"BETTER"
"9Q:AMP","COO:GCB",41,6,14.6,0,0.9982,0.51,0.3706,"BETTER"
"9Q:AMP","COO:ABC",48,8,16.7,0.73,0.6721,0.62,0.5163,"BETTER"
"9Q:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"9Q:AMP","C1",14,3,21.4,0,0.9992,0,0.9991,"BETTER"
"9Q:AMP","C2",31,6,19.4,0.4,0.3792,0.29,0.231,"BETTER"
"9Q:AMP","C3",27,2,7.4,0,0.9983,0.74,0.7766,"BETTER"
"9Q:AMP","C4",21,2,9.5,0,0.9992,0,0.9987,"BETTER"
"9Q:AMP","C5",31,5,16.1,0.93,0.9209,1.26,0.7186,"BETTER"
"11P:AMP","Global",127,28,22,0.99,0.9735,1.18,0.6046,"BETTER"
"11P:AMP","COO:GCB",41,9,22,2.39,0.0918,2.89,0.0295,"WORSE"
"11P:AMP","COO:ABC",48,9,18.8,0.55,0.4192,0.69,0.5562,"BETTER"
"11P:AMP","COO:Unclassified",13,3,23.1,4.34,0.1491,3.29,0.2028,"WORSE"
"11P:AMP","C1",14,4,28.6,2.89,0.4546,1.46,0.7583,"WORSE"
"11P:AMP","C2",31,12,38.7,0.71,0.5796,1.05,0.9235,"BETTER"
"11P:AMP","C3",27,3,11.1,1.67,0.511,1.26,0.7641,"WORSE"
"11P:AMP","C4",21,4,19,3.45,0.1769,3.46,0.1764,"WORSE"
"11P:AMP","C5",31,5,16.1,0.35,0.317,0.66,0.5901,"BETTER"
"11Q:AMP","Global",127,30,23.6,0.74,0.4217,1.2,0.5631,"BETTER"
"11Q:AMP","COO:GCB",41,10,24.4,1.34,0.5906,1.57,0.3642,"WORSE"
"11Q:AMP","COO:ABC",48,11,22.9,0.67,0.5312,1.13,0.816,"BETTER"
"11Q:AMP","COO:Unclassified",13,3,23.1,0.7,0.7535,2.52,0.3185,"BETTER"
"11Q:AMP","C1",14,5,35.7,6.78,0.1378,4.63,0.213,"WORSE"
"11Q:AMP","C2",31,10,32.3,0.6,0.4492,1.06,0.9161,"BETTER"
"11Q:AMP","C3",27,4,14.8,0,0.9982,0.29,0.2379,"BETTER"
"11Q:AMP","C4",21,4,19,3.71,0.1524,3.72,0.1519,"WORSE"
"11Q:AMP","C5",31,7,22.6,0.61,0.516,1.27,0.6803,"BETTER"
"12P:AMP","Global",127,18,14.2,1.43,0.355,1.46,0.3038,"WORSE"
"12P:AMP","COO:GCB",41,8,19.5,3,0.0505,3.19,0.0243,"WORSE"
"12P:AMP","COO:ABC",48,5,10.4,1.29,0.7375,1.09,0.907,"WORSE"
"12P:AMP","COO:Unclassified",13,2,15.4,1.85,0.5964,1.51,0.7148,"WORSE"
"12P:AMP","C1",14,2,14.3,8.49,0.1363,4.56,0.2206,"WORSE"
"12P:AMP","C2",31,4,12.9,1.64,0.5265,1.38,0.6795,"WORSE"
"12P:AMP","C3",27,6,22.2,1.12,0.8665,0.87,0.8276,"WORSE"
"12P:AMP","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"12P:AMP","C5",31,3,9.7,0.73,0.7666,1.31,0.721,"BETTER"
"12Q:AMP","Global",127,24,18.9,0.94,0.8804,0.9,0.7722,"BETTER"
"12Q:AMP","COO:GCB",41,11,26.8,1.78,0.3028,1.73,0.2832,"WORSE"
"12Q:AMP","COO:ABC",48,7,14.6,0.75,0.6995,0.62,0.5281,"BETTER"
"12Q:AMP","COO:Unclassified",13,2,15.4,1.85,0.5964,1.51,0.7148,"WORSE"
"12Q:AMP","C1",14,2,14.3,8.49,0.1363,4.56,0.2206,"WORSE"
"12Q:AMP","C2",31,5,16.1,1.14,0.8623,0.87,0.8565,"WORSE"
"12Q:AMP","C3",27,9,33.3,0.61,0.4596,0.44,0.2063,"BETTER"
"12Q:AMP","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"12Q:AMP","C5",31,5,16.1,0.36,0.3263,0.63,0.542,"BETTER"
"13Q:AMP","Global",127,16,12.6,1.64,0.2067,1.16,0.7072,"WORSE"
"13Q:AMP","COO:GCB",41,7,17.1,1.76,0.3306,1.33,0.6137,"WORSE"
"13Q:AMP","COO:ABC",48,4,8.3,1.69,0.487,0.71,0.7419,"WORSE"
"13Q:AMP","COO:Unclassified",13,3,23.1,1.03,0.9774,0.81,0.853,"WORSE"
"13Q:AMP","C1",14,3,21.4,2.05,0.5591,2.32,0.4944,"WORSE"
"13Q:AMP","C2",31,5,16.1,1.35,0.7005,0.44,0.4277,"WORSE"
"13Q:AMP","C3",27,3,11.1,1.38,0.6809,1.24,0.781,"WORSE"
"13Q:AMP","C4",21,1,4.8,NA,NA,NA,NA,NA
"13Q:AMP","C5",31,4,12.9,1.09,0.9124,0.95,0.9412,"WORSE"
"18P:AMP","Global",127,32,25.2,1,0.9986,1.01,0.9763,"Neutral"
"18P:AMP","COO:GCB",41,6,14.6,0.72,0.6708,0.95,0.9403,"BETTER"
"18P:AMP","COO:ABC",48,17,35.4,1.13,0.7995,1.17,0.7248,"WORSE"
"18P:AMP","COO:Unclassified",13,2,15.4,17.2,0.0214,17.2,0.0214,"WORSE"
"18P:AMP","C1",14,3,21.4,11.07,0.0522,9.36,0.0688,"WORSE"
"18P:AMP","C2",31,7,22.6,0.25,0.1788,0.35,0.1742,"BETTER"
"18P:AMP","C3",27,5,18.5,0.91,0.905,0.69,0.6309,"BETTER"
"18P:AMP","C4",21,2,9.5,0,0.9992,0,0.9987,"BETTER"
"18P:AMP","C5",31,15,48.4,1.29,0.6486,1.23,0.6873,"WORSE"
"18Q:AMP","Global",127,42,33.1,0.81,0.5011,0.89,0.6975,"BETTER"
"18Q:AMP","COO:GCB",41,6,14.6,0.72,0.6708,0.95,0.9403,"BETTER"
"18Q:AMP","COO:ABC",48,23,47.9,0.8,0.6413,1.02,0.973,"BETTER"
"18Q:AMP","COO:Unclassified",13,4,30.8,2.82,0.3019,2.01,0.4477,"WORSE"
"18Q:AMP","C1",14,3,21.4,11.07,0.0522,9.36,0.0688,"WORSE"
"18Q:AMP","C2",31,9,29,0.43,0.2783,0.48,0.2571,"BETTER"
"18Q:AMP","C3",27,5,18.5,0.91,0.905,0.69,0.6309,"BETTER"
"18Q:AMP","C4",21,2,9.5,0,0.9992,0,0.9987,"BETTER"
"18Q:AMP","C5",31,23,74.2,0.48,0.201,0.61,0.3661,"BETTER"
"19Q:AMP","Global",127,24,18.9,0.71,0.4099,0.63,0.2593,"BETTER"
"19Q:AMP","COO:GCB",41,7,17.1,1.34,0.6559,1.04,0.9464,"WORSE"
"19Q:AMP","COO:ABC",48,14,29.2,0.7,0.529,0.65,0.4436,"BETTER"
"19Q:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"19Q:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"19Q:AMP","C2",31,9,29,2.71,0.0948,2.17,0.1697,"WORSE"
"19Q:AMP","C3",27,3,11.1,0.7,0.736,0,0.9986,"BETTER"
"19Q:AMP","C4",21,2,9.5,0,0.9992,0,0.9987,"BETTER"
"19Q:AMP","C5",31,10,32.3,0.14,0.0563,0.24,0.0631,"BETTER"
"21Q:AMP","Global",127,23,18.1,1.34,0.3927,1.19,0.6016,"WORSE"
"21Q:AMP","COO:GCB",41,12,29.3,2.03,0.1619,2.14,0.1082,"WORSE"
"21Q:AMP","COO:ABC",48,6,12.5,1.37,0.6204,0.78,0.7434,"WORSE"
"21Q:AMP","COO:Unclassified",13,2,15.4,0.93,0.9488,0.75,0.7944,"BETTER"
"21Q:AMP","C1",14,2,14.3,3.19,0.3444,2.74,0.4108,"WORSE"
"21Q:AMP","C2",31,16,51.6,1.27,0.6825,0.77,0.618,"WORSE"
"21Q:AMP","C3",27,2,7.4,2,0.3782,1.8,0.4454,"WORSE"
"21Q:AMP","C4",21,3,14.3,1.78,0.6057,1.79,0.6016,"WORSE"
"21Q:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"1Q23.3:AMP","Global",127,13,10.2,1.07,0.8887,1.38,0.4285,"WORSE"
"1Q23.3:AMP","COO:GCB",41,9,22,0.67,0.5264,1.21,0.7199,"BETTER"
"1Q23.3:AMP","COO:ABC",48,2,4.2,1.07,0.9478,0.9,0.915,"WORSE"
"1Q23.3:AMP","COO:Unclassified",13,2,15.4,2.24,0.4884,1.77,0.6124,"WORSE"
"1Q23.3:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"1Q23.3:AMP","C2",31,10,32.3,1.51,0.4801,1.49,0.4502,"WORSE"
"1Q23.3:AMP","C3",27,2,7.4,0,0.9983,1.13,0.9082,"BETTER"
"1Q23.3:AMP","C4",21,1,4.8,NA,NA,NA,NA,NA
"1Q23.3:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"1Q32.1:AMP","Global",127,13,10.2,0.54,0.3,0.83,0.6869,"BETTER"
"1Q32.1:AMP","COO:GCB",41,10,24.4,0.3,0.1213,0.64,0.4379,"BETTER"
"1Q32.1:AMP","COO:ABC",48,2,4.2,1.07,0.9478,0.9,0.915,"WORSE"
"1Q32.1:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"1Q32.1:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"1Q32.1:AMP","C2",31,5,16.1,0.76,0.7275,1.04,0.9564,"BETTER"
"1Q32.1:AMP","C3",27,5,18.5,0.34,0.3021,0.63,0.5402,"BETTER"
"1Q32.1:AMP","C4",21,3,14.3,0,0.999,0,0.999,"BETTER"
"1Q32.1:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"2P16.1:AMP","Global",127,36,28.3,0.92,0.7986,1.26,0.4257,"BETTER"
"2P16.1:AMP","COO:GCB",41,19,46.3,0.91,0.8466,1.88,0.1742,"BETTER"
"2P16.1:AMP","COO:ABC",48,7,14.6,0.68,0.6021,0.85,0.7968,"BETTER"
"2P16.1:AMP","COO:Unclassified",13,3,23.1,1.17,0.8896,0.9,0.9266,"WORSE"
"2P16.1:AMP","C1",14,2,14.3,5.74,0.2165,3.51,0.3103,"WORSE"
"2P16.1:AMP","C2",31,19,61.3,0.56,0.3206,0.78,0.6451,"BETTER"
"2P16.1:AMP","C3",27,9,33.3,0.69,0.5759,1.02,0.9764,"BETTER"
"2P16.1:AMP","C4",21,4,19,1.14,0.9074,1.52,0.7112,"WORSE"
"2P16.1:AMP","C5",31,2,6.5,1.06,0.9563,0.81,0.8394,"WORSE"
"3Q28:AMP","Global",127,7,5.5,1.89,0.2238,2.39,0.0951,"WORSE"
"3Q28:AMP","COO:GCB",41,4,9.8,2.18,0.2427,3.37,0.0617,"WORSE"
"3Q28:AMP","COO:ABC",48,1,2.1,NA,NA,NA,NA,NA
"3Q28:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"3Q28:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"3Q28:AMP","C2",31,3,9.7,0.55,0.5725,1.32,0.7174,"BETTER"
"3Q28:AMP","C3",27,4,14.8,3.84,0.0587,2.78,0.1945,"WORSE"
"3Q28:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"3Q28:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"6P21.1:AMP","Global",127,7,5.5,2.21,0.0947,1.92,0.1671,"WORSE"
"6P21.1:AMP","COO:GCB",41,2,4.9,2.76,0.1905,2.24,0.2945,"WORSE"
"6P21.1:AMP","COO:ABC",48,3,6.2,2.8,0.1053,2.8,0.1057,"WORSE"
"6P21.1:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"6P21.1:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"6P21.1:AMP","C2",31,3,9.7,1.49,0.6099,0.98,0.983,"WORSE"
"6P21.1:AMP","C3",27,2,7.4,1.6,0.6587,1.69,0.6165,"WORSE"
"6P21.1:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"6P21.1:AMP","C5",31,1,3.2,NA,NA,NA,NA,NA
"7Q22.1:AMP","Global",127,10,7.9,0.44,0.2607,0.9,0.832,"BETTER"
"7Q22.1:AMP","COO:GCB",41,4,9.8,0,0.9984,1.18,0.8283,"BETTER"
"7Q22.1:AMP","COO:ABC",48,3,6.2,0.66,0.6874,0.6,0.6236,"BETTER"
"7Q22.1:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"7Q22.1:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"7Q22.1:AMP","C2",31,4,12.9,1.06,0.9377,1.95,0.3113,"WORSE"
"7Q22.1:AMP","C3",27,2,7.4,0,0.9983,1.13,0.9082,"BETTER"
"7Q22.1:AMP","C4",21,3,14.3,0,0.999,0,0.999,"BETTER"
"7Q22.1:AMP","C5",31,0,0,NA,NA,NA,NA,NA
"8Q24.22:AMP","Global",127,26,20.5,1.33,0.4139,2.17,0.0098,"WORSE"
"8Q24.22:AMP","COO:GCB",41,9,22,0.4,0.2311,1.18,0.7455,"BETTER"
"8Q24.22:AMP","COO:ABC",48,10,20.8,2.72,0.0464,2.62,0.0533,"WORSE"
"8Q24.22:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"8Q24.22:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"8Q24.22:AMP","C2",31,11,35.5,0.56,0.3859,1.5,0.4422,"BETTER"
"8Q24.22:AMP","C3",27,6,22.2,1.38,0.631,3.14,0.0469,"WORSE"
"8Q24.22:AMP","C4",21,2,9.5,3.05,0.3213,3.07,0.319,"WORSE"
"8Q24.22:AMP","C5",31,7,22.6,2.09,0.232,1.37,0.5863,"WORSE"
"9P24.1:AMP","Global",127,23,18.1,0.76,0.5054,0.75,0.4634,"BETTER"
"9P24.1:AMP","COO:GCB",41,4,9.8,0,0.9977,0.62,0.6402,"BETTER"
"9P24.1:AMP","COO:ABC",48,14,29.2,0.93,0.8834,0.74,0.5636,"BETTER"
"9P24.1:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"9P24.1:AMP","C1",14,5,35.7,0.9,0.9279,0.79,0.8511,"BETTER"
"9P24.1:AMP","C2",31,7,22.6,1.25,0.7403,2.21,0.1967,"WORSE"
"9P24.1:AMP","C3",27,2,7.4,0,0.9983,0,0.9982,"BETTER"
"9P24.1:AMP","C4",21,3,14.3,0,0.999,0,0.999,"BETTER"
"9P24.1:AMP","C5",31,6,19.4,0.96,0.9546,0.99,0.9834,"BETTER"
"11Q23.3:AMP","Global",127,15,11.8,1.01,0.9729,0.77,0.5851,"WORSE"
"11Q23.3:AMP","COO:GCB",41,4,9.8,0,0.9976,0,0.9975,"BETTER"
"11Q23.3:AMP","COO:ABC",48,7,14.6,1.18,0.7976,0.71,0.6454,"WORSE"
"11Q23.3:AMP","COO:Unclassified",13,2,15.4,3.5,0.1861,2.81,0.2493,"WORSE"
"11Q23.3:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"11Q23.3:AMP","C2",31,7,22.6,3.29,0.0427,1.54,0.4627,"WORSE"
"11Q23.3:AMP","C3",27,0,0,NA,NA,NA,NA,NA
"11Q23.3:AMP","C4",21,2,9.5,0,0.9992,0,0.9989,"BETTER"
"11Q23.3:AMP","C5",31,6,19.4,0.27,0.211,0.21,0.1327,"BETTER"
"12P12.1:AMP","Global",127,10,7.9,0.7,0.5577,0.59,0.3697,"BETTER"
"12P12.1:AMP","COO:GCB",41,5,12.2,0.76,0.719,0.57,0.4584,"BETTER"
"12P12.1:AMP","COO:ABC",48,5,10.4,0.47,0.4692,0.4,0.3776,"BETTER"
"12P12.1:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"12P12.1:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"12P12.1:AMP","C2",31,2,6.5,0.96,0.972,0.64,0.6649,"BETTER"
"12P12.1:AMP","C3",27,2,7.4,0.85,0.8756,0.72,0.7491,"BETTER"
"12P12.1:AMP","C4",21,2,9.5,3.05,0.3213,3.07,0.319,"WORSE"
"12P12.1:AMP","C5",31,4,12.9,0,0.9984,0,0.9983,"BETTER"
"13Q31.3:AMP","Global",127,15,11.8,2.76,0.0035,2.22,0.0185,"WORSE"
"13Q31.3:AMP","COO:GCB",41,6,14.6,3.5,0.0158,2.44,0.0724,"WORSE"
"13Q31.3:AMP","COO:ABC",48,7,14.6,1.11,0.865,1.04,0.9446,"WORSE"
"13Q31.3:AMP","COO:Unclassified",13,1,7.7,NA,NA,NA,NA,NA
"13Q31.3:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"13Q31.3:AMP","C2",31,8,25.8,5.32,0.0047,3.1,0.0316,"WORSE"
"13Q31.3:AMP","C3",27,3,11.1,2.42,0.1867,2,0.2886,"WORSE"
"13Q31.3:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"13Q31.3:AMP","C5",31,3,9.7,0,0.9979,0,0.9977,"BETTER"
"17Q24.3:AMP","Global",127,21,16.5,1.25,0.5478,1.35,0.3757,"WORSE"
"17Q24.3:AMP","COO:GCB",41,11,26.8,0.79,0.6881,1.24,0.6601,"BETTER"
"17Q24.3:AMP","COO:ABC",48,5,10.4,2.43,0.118,2.18,0.1639,"WORSE"
"17Q24.3:AMP","COO:Unclassified",13,2,15.4,2.24,0.4884,1.77,0.6124,"WORSE"
"17Q24.3:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"17Q24.3:AMP","C2",31,11,35.5,0.89,0.8532,1.32,0.6006,"BETTER"
"17Q24.3:AMP","C3",27,5,18.5,0.83,0.8152,0.62,0.53,"BETTER"
"17Q24.3:AMP","C4",21,1,4.8,NA,NA,NA,NA,NA
"17Q24.3:AMP","C5",31,4,12.9,1.31,0.726,0.98,0.9806,"WORSE"
"18Q21.33(BCL2):AMP","Global",127,8,6.3,2.53,0.0344,2.57,0.0203,"WORSE"
"18Q21.33(BCL2):AMP","COO:GCB",41,2,4.9,0.86,0.8817,1.35,0.695,"BETTER"
"18Q21.33(BCL2):AMP","COO:ABC",48,4,8.3,2.77,0.1091,3.03,0.0808,"WORSE"
"18Q21.33(BCL2):AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"18Q21.33(BCL2):AMP","C1",14,0,0,NA,NA,NA,NA,NA
"18Q21.33(BCL2):AMP","C2",31,2,6.5,2.14,0.3294,1.39,0.6671,"WORSE"
"18Q21.33(BCL2):AMP","C3",27,2,7.4,1.26,0.8254,2.25,0.2959,"WORSE"
"18Q21.33(BCL2):AMP","C4",21,0,0,NA,NA,NA,NA,NA
"18Q21.33(BCL2):AMP","C5",31,4,12.9,2.94,0.1083,2.53,0.1559,"WORSE"
"19Q13.42:AMP","Global",127,11,8.7,2.03,0.087,2.36,0.0265,"WORSE"
"19Q13.42:AMP","COO:GCB",41,1,2.4,NA,NA,NA,NA,NA
"19Q13.42:AMP","COO:ABC",48,7,14.6,2.97,0.0401,3.72,0.0087,"WORSE"
"19Q13.42:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"19Q13.42:AMP","C1",14,0,0,NA,NA,NA,NA,NA
"19Q13.42:AMP","C2",31,3,9.7,0.77,0.799,0.58,0.6026,"BETTER"
"19Q13.42:AMP","C3",27,0,0,NA,NA,NA,NA,NA
"19Q13.42:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"19Q13.42:AMP","C5",31,8,25.8,3.26,0.0355,3.62,0.0143,"WORSE"
"21Q22.3:AMP","Global",127,6,4.7,0.79,0.7448,0.67,0.572,"BETTER"
"21Q22.3:AMP","COO:GCB",41,2,4.9,0.86,0.8817,0.66,0.6914,"BETTER"
"21Q22.3:AMP","COO:ABC",48,3,6.2,0.87,0.8953,0.79,0.8194,"BETTER"
"21Q22.3:AMP","COO:Unclassified",13,0,0,NA,NA,NA,NA,NA
"21Q22.3:AMP","C1",14,1,7.1,NA,NA,NA,NA,NA
"21Q22.3:AMP","C2",31,1,3.2,NA,NA,NA,NA,NA
"21Q22.3:AMP","C3",27,1,3.7,NA,NA,NA,NA,NA
"21Q22.3:AMP","C4",21,0,0,NA,NA,NA,NA,NA
"21Q22.3:AMP","C5",31,3,9.7,0.78,0.8147,0.64,0.6686,"BETTER"
"6Q:DEL","Global",127,30,23.6,1.48,0.223,1.58,0.1301,"WORSE"
"6Q:DEL","COO:GCB",41,8,19.5,1.17,0.7858,1.16,0.7758,"WORSE"
"6Q:DEL","COO:ABC",48,12,25,2.95,0.0226,2.31,0.0747,"WORSE"
"6Q:DEL","COO:Unclassified",13,3,23.1,0,0.9992,0.73,0.7777,"BETTER"
"6Q:DEL","C1",14,5,35.7,3.59,0.2971,3.59,0.2971,"WORSE"
"6Q:DEL","C2",31,13,41.9,2.15,0.1922,1.82,0.2505,"WORSE"
"6Q:DEL","C3",27,4,14.8,0,0.9983,0.29,0.2379,"BETTER"
"6Q:DEL","C4",21,2,9.5,3.05,0.3213,3.07,0.319,"WORSE"
"6Q:DEL","C5",31,6,19.4,2.27,0.176,2.33,0.1554,"WORSE"
"17P:DEL","Global",127,34,26.8,0.93,0.8369,1.33,0.3317,"BETTER"
"17P:DEL","COO:GCB",41,12,29.3,1.34,0.5744,1.99,0.1418,"WORSE"
"17P:DEL","COO:ABC",48,11,22.9,1.33,0.5896,1.29,0.6207,"WORSE"
