"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function"
"CARD11",18,13.3,2,23,0,25,8,0,0,"Hotspot/GoF","NF-kB","BCR-NF-kB signaling scaffold"
"CSMD1",15,11.1,9,14,2,25,36,8,0.143,"aSHM Passenger",NA,NA
"XIRP2",15,11.1,6,16,2,24,25,8.3,0.125,"aSHM Passenger",NA,NA
"BCR",11,8.1,8,13,2,23,34.8,8.7,0.154,"Neutral/Unclear",NA,NA
"COL11A1",9,6.7,11,8,4,23,47.8,17.4,0.5,"Mixed",NA,NA
"SLITRK5",7,5.2,6,16,1,23,26.1,4.3,0.062,"aSHM Passenger",NA,NA
"MYD88",22,16.3,0,22,0,22,0,0,0,"Hotspot/GoF","NF-kB","TLR adaptor (L265P = ABC driver)"
"SEMA3E",7,5.2,8,13,1,22,36.4,4.5,0.077,"aSHM Passenger",NA,NA
"LRRN3",15,11.1,8,11,2,21,38.1,9.5,0.182,"Neutral/Unclear",NA,NA
"CD79B",21,15.6,1,16,3,20,5,15,0.188,"Mixed","BCR/NF-kB","BCR signaling (Y196 hotspot)"
"DTX1",14,10.4,7,10,3,20,35,15,0.3,"Mixed",NA,NA
"LPHN3",8,5.9,6,13,1,20,30,5,0.077,"aSHM Passenger",NA,NA
"PTPRD",8,5.9,6,11,2,19,31.6,10.5,0.182,"Neutral/Unclear",NA,NA
"SI",7,5.2,6,11,2,19,31.6,10.5,0.182,"Neutral/Unclear",NA,NA
"SYNE1",15,11.1,4,13,2,19,21.1,10.5,0.154,"Neutral/Unclear",NA,NA
"ACTB",17,12.6,3,14,1,18,16.7,5.6,0.071,"aSHM Passenger",NA,NA
"CACNA2D1",6,4.4,5,12,1,18,27.8,5.6,0.083,"aSHM Passenger",NA,NA
"CD70",13,9.6,0,11,7,18,0,38.9,0.636,"LoF Selection",NA,NA
"HIST1H1C",16,11.9,1,16,1,18,5.6,5.6,0.062,"Hotspot/GoF","Chromatin","Linker histone, aSHM target"
"HIST1H2BK",14,10.4,5,12,1,18,27.8,5.6,0.083,"aSHM Passenger",NA,NA
"LRRIQ1",9,6.7,6,10,2,18,33.3,11.1,0.2,"Neutral/Unclear",NA,NA
"P2RY8",13,9.6,2,15,1,18,11.1,5.6,0.067,"Hotspot/GoF","GC Exit","Purinergic receptor, GC positioning"
"UNC5D",10,7.4,5,8,5,18,27.8,27.8,0.625,"Mixed",NA,NA
"ANKRD50",6,4.4,1,13,3,17,5.9,17.6,0.231,"Mixed",NA,NA
"DST",20,14.8,6,11,0,17,35.3,0,0,"aSHM Passenger",NA,NA
"EPHA7",8,5.9,3,14,0,17,17.6,0,0,"aSHM Passenger",NA,NA
"KLHL6",12,8.9,2,15,0,17,11.8,0,0,"Hotspot/GoF",NA,NA
"LAMA2",8,5.9,4,12,1,17,23.5,5.9,0.083,"aSHM Passenger",NA,NA
"PCDH15",10,7.4,2,13,2,17,11.8,11.8,0.154,"Neutral/Unclear",NA,NA
"TNFRSF14",17,12.6,0,11,6,17,0,35.3,0.545,"LoF Selection","Immune","HVEM, immune checkpoint"
"CNTLN",6,4.4,4,10,2,16,25,12.5,0.2,"Neutral/Unclear",NA,NA
"GRID2",8,5.9,5,10,1,16,31.2,6.2,0.1,"aSHM Passenger",NA,NA
"PCDH17",12,8.9,7,9,0,16,43.8,0,0,"aSHM Passenger",NA,NA
"RYR2",11,8.1,6,9,1,16,37.5,6.2,0.111,"aSHM Passenger",NA,NA
"DMD",9,6.7,5,8,2,15,33.3,13.3,0.25,"Neutral/Unclear",NA,NA
"FLRT2",8,5.9,5,9,1,15,33.3,6.7,0.111,"aSHM Passenger",NA,NA
"HIST1H1B",12,8.9,3,12,0,15,20,0,0,"aSHM Passenger",NA,NA
"HIST1H2BC",8,5.9,6,9,0,15,40,0,0,"aSHM Passenger",NA,NA
"LAMA1",8,5.9,2,13,0,15,13.3,0,0,"Hotspot/GoF",NA,NA
"NAV3",10,7.4,1,13,1,15,6.7,6.7,0.077,"Hotspot/GoF",NA,NA
"PCDH11X",9,6.7,5,9,1,15,33.3,6.7,0.111,"aSHM Passenger",NA,NA
"PXDN",7,5.2,6,6,3,15,40,20,0.5,"Mixed",NA,NA
"BCL6",13,9.6,1,12,1,14,7.1,7.1,0.083,"Hotspot/GoF","GC Biology","GC master regulator, aSHM target"
"CDH18",8,5.9,3,8,3,14,21.4,21.4,0.375,"Mixed",NA,NA
"CUBN",7,5.2,3,9,2,14,21.4,14.3,0.222,"Neutral/Unclear",NA,NA
"DNAH5",13,9.6,4,10,0,14,28.6,0,0,"aSHM Passenger",NA,NA
"DSCAM",12,8.9,2,10,2,14,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"EBF1",13,9.6,1,10,3,14,7.1,21.4,0.3,"Mixed",NA,NA
"EPHA5",4,3,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA
"GPR98",12,8.9,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA
"GRIA2",7,5.2,3,9,2,14,21.4,14.3,0.222,"Neutral/Unclear",NA,NA
"HLA-A",12,8.9,0,5,9,14,0,64.3,1.8,"Strong LoF Selection","Immune Evasion","MHC class I"
"LRP2",14,10.4,5,9,0,14,35.7,0,0,"aSHM Passenger",NA,NA
"MAGEC1",9,6.7,5,8,1,14,35.7,7.1,0.125,"aSHM Passenger",NA,NA
"PIK3C2G",5,3.7,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA
"TENM3",9,6.7,5,9,0,14,35.7,0,0,"aSHM Passenger",NA,NA
"TRAM1L1",5,3.7,3,10,1,14,21.4,7.1,0.1,"aSHM Passenger",NA,NA
"CD58",9,6.7,0,4,9,13,0,69.2,2.25,"Strong LoF Selection","Immune Evasion","LFA-3, NK/T cell ligand"
"CDH7",8,5.9,1,12,0,13,7.7,0,0,"Hotspot/GoF",NA,NA
"COL6A6",10,7.4,5,7,1,13,38.5,7.7,0.143,"aSHM Passenger",NA,NA
"CTNNA2",7,5.2,1,10,2,13,7.7,15.4,0.2,"Mixed",NA,NA
"DSEL",6,4.4,1,10,2,13,7.7,15.4,0.2,"Mixed",NA,NA
"FAT3",12,8.9,1,11,1,13,7.7,7.7,0.091,"Hotspot/GoF",NA,NA
"HIST1H1D",11,8.1,4,9,0,13,30.8,0,0,"aSHM Passenger",NA,NA
"HIST1H2AM",14,10.4,6,7,0,13,46.2,0,0,"aSHM Passenger",NA,NA
"KIAA1109",6,4.4,7,6,0,13,53.8,0,0,"aSHM Passenger",NA,NA
"MPDZ",4,3,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA
"SLIT2",7,5.2,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA
"SPATA31D1",6,4.4,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA
"TBL1XR1",13,9.6,0,13,0,13,0,0,0,"Hotspot/GoF",NA,NA
"TMSB4X",16,11.9,1,7,5,13,7.7,38.5,0.714,"LoF Selection",NA,NA
"ZNF804B",10,7.4,0,13,0,13,0,0,0,"Hotspot/GoF",NA,NA
"ADAMTS9",9,6.7,2,10,0,12,16.7,0,0,"aSHM Passenger",NA,NA
"BRINP3",8,5.9,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA
"DCC",9,6.7,2,10,0,12,16.7,0,0,"aSHM Passenger",NA,NA
"DGKB",5,3.7,2,9,1,12,16.7,8.3,0.111,"aSHM Passenger",NA,NA
"FBN2",10,7.4,1,9,2,12,8.3,16.7,0.222,"Mixed",NA,NA
"FREM2",7,5.2,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA
"HLA-B",11,8.1,0,5,7,12,0,58.3,1.4,"Strong LoF Selection","Immune Evasion","MHC class I"
"KLHL14",9,6.7,2,9,1,12,16.7,8.3,0.111,"aSHM Passenger",NA,NA
"MEF2B",12,8.9,0,10,2,12,0,16.7,0.2,"Mixed",NA,NA
"PKHD1",9,6.7,4,8,0,12,33.3,0,0,"aSHM Passenger",NA,NA
"PTPRM",9,6.7,5,7,0,12,41.7,0,0,"aSHM Passenger",NA,NA
"SLITRK6",8,5.9,0,11,1,12,0,8.3,0.091,"Hotspot/GoF",NA,NA
"TACC2",11,8.1,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA
"THSD7A",9,6.7,6,5,1,12,50,8.3,0.2,"Neutral/Unclear",NA,NA
"ZNF608",9,6.7,4,6,2,12,33.3,16.7,0.333,"Mixed",NA,NA
"ABCA13",11,8.1,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA
"AHNAK2",9,6.7,4,6,1,11,36.4,9.1,0.167,"Neutral/Unclear",NA,NA
"ANKRD30A",6,4.4,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA
"CDH10",4,3,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA
"CNTN5",6,4.4,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA
"DNAH17",6,4.4,5,5,1,11,45.5,9.1,0.2,"Neutral/Unclear",NA,NA
"FLG",10,7.4,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA
"GRIK2",7,5.2,1,8,2,11,9.1,18.2,0.25,"Mixed",NA,NA
"HIST2H2BE",9,6.7,3,6,2,11,27.3,18.2,0.333,"Mixed",NA,NA
"HMCN1",8,5.9,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA
"IRF8",10,7.4,2,6,3,11,18.2,27.3,0.5,"Mixed",NA,NA
"ITPKB",10,7.4,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA
"LPHN2",6,4.4,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA
"LRRC7",11,8.1,2,7,2,11,18.2,18.2,0.286,"Mixed",NA,NA
"MAP2",9,6.7,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA
"NALCN",5,3.7,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA
"NEB",9,6.7,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA
"PCDH9",4,3,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA
"PREX2",7,5.2,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA
"RELN",11,8.1,1,10,0,11,9.1,0,0,"Hotspot/GoF",NA,NA
"SACS",6,4.4,5,6,0,11,45.5,0,0,"aSHM Passenger",NA,NA
"SDK1",9,6.7,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA
"SLITRK3",6,4.4,1,10,0,11,9.1,0,0,"Hotspot/GoF",NA,NA
"SOCS1",7,5.2,4,5,2,11,36.4,18.2,0.4,"Mixed","JAK-STAT","JAK-STAT inhibitor"
"STAT3",10,7.4,1,10,0,11,9.1,0,0,"Hotspot/GoF","JAK-STAT","Transcription factor"
"TAF1",10,7.4,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA
"TUSC3",7,5.2,2,8,1,11,18.2,9.1,0.125,"aSHM Passenger",NA,NA
"VCAN",10,7.4,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA
"BAI3",6,4.4,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA
"CADM2",9,6.7,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA
"CEP290",3,2.2,3,4,3,10,30,30,0.75,"LoF Selection",NA,NA
"DNAH7",10,7.4,0,9,1,10,0,10,0.111,"Neutral/Unclear",NA,NA
"DOCK1",8,5.9,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA
"EGR1",8,5.9,5,5,0,10,50,0,0,"aSHM Passenger",NA,NA
"EP300",10,7.4,1,7,2,10,10,20,0.286,"Mixed","Chromatin","Histone acetyltransferase"
"EZH2",9,6.7,0,10,0,10,0,0,0,"Hotspot/GoF","Chromatin","H3K27 methyltransferase (GoF in GCB)"
"FAM135B",7,5.2,7,2,1,10,70,10,0.5,"Neutral/Unclear",NA,NA
"FAM47B",6,4.4,3,5,2,10,30,20,0.4,"Mixed",NA,NA
"FAS",9,6.7,0,2,8,10,0,80,4,"Strong LoF Selection","Apoptosis","Death receptor"
"FSTL5",4,3,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA
"HGF",4,3,3,5,2,10,30,20,0.4,"Mixed",NA,NA
"HIST1H2AC",10,7.4,4,5,1,10,40,10,0.2,"Neutral/Unclear",NA,NA
"KIF2B",8,5.9,1,7,2,10,10,20,0.286,"Mixed",NA,NA
"LRBA",8,5.9,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA
"MUC17",8,5.9,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA
"NFKBIA",6,4.4,0,6,4,10,0,40,0.667,"LoF Selection","NF-kB","IkBa, NF-kB inhibitor"
"NLGN1",6,4.4,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA
"NRK",5,3.7,4,6,0,10,40,0,0,"aSHM Passenger",NA,NA
"NRXN1",6,4.4,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA
"OBSCN",9,6.7,4,5,1,10,40,10,0.2,"Neutral/Unclear",NA,NA
"PTPRK",6,4.4,3,5,2,10,30,20,0.4,"Mixed",NA,NA
"RFTN1",8,5.9,4,4,2,10,40,20,0.5,"Mixed",NA,NA
"ROBO2",5,3.7,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA
"SEMA3A",4,3,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA
"SLITRK1",5,3.7,3,6,1,10,30,10,0.167,"Neutral/Unclear",NA,NA
"TMPRSS15",4,3,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA
"TRPS1",6,4.4,5,4,1,10,50,10,0.25,"Neutral/Unclear",NA,NA
"UBR5",9,6.7,1,6,3,10,10,30,0.5,"LoF Selection",NA,NA
"ZFHX3",8,5.9,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA
"ZNF462",5,3.7,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA
"ADAMTS16",8,5.9,0,8,1,9,0,11.1,0.125,"Neutral/Unclear",NA,NA
"AHNAK",8,5.9,3,6,0,9,33.3,0,0,"aSHM Passenger",NA,NA
"ATRX",9,6.7,1,7,1,9,11.1,11.1,0.143,"Neutral/Unclear",NA,NA
"BRWD3",9,6.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"BTG2",4,3,1,7,1,9,11.1,11.1,0.143,"Neutral/Unclear","Proliferation","Anti-proliferative, aSHM target"
"COL4A5",6,4.4,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"DCAF12L1",6,4.4,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA
"DNAH10",7,5.2,6,2,1,9,66.7,11.1,0.5,"Neutral/Unclear",NA,NA
"DNAH11",9,6.7,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA
"DSC1",6,4.4,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA
"FBN1",5,3.7,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA
"FRAS1",8,5.9,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA
"GRM7",5,3.7,0,9,0,9,0,0,0,"Hotspot/GoF",NA,NA
"HIST1H3I",8,5.9,3,6,0,9,33.3,0,0,"aSHM Passenger",NA,NA
"HNRNPU",7,5.2,2,5,2,9,22.2,22.2,0.4,"Mixed",NA,NA
"HTR2C",7,5.2,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA
"INPP4B",2,1.5,2,6,1,9,22.2,11.1,0.167,"Neutral/Unclear",NA,NA
"INSR",7,5.2,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA
"KMT2C",7,5.2,4,3,2,9,44.4,22.2,0.667,"Mixed","Chromatin","H3K4 methyltransferase"
"LTB",7,5.2,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"MAGI1",9,6.7,0,9,0,9,0,0,0,"Hotspot/GoF",NA,NA
"MAGI2",7,5.2,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"MGAM",9,6.7,4,4,1,9,44.4,11.1,0.25,"Neutral/Unclear",NA,NA
"MUC2",5,3.7,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA
"MUC5B",7,5.2,4,5,0,9,44.4,0,0,"aSHM Passenger",NA,NA
"MYO10",9,6.7,5,4,0,9,55.6,0,0,"aSHM Passenger",NA,NA
"MYO15A",9,6.7,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA
"MYT1L",5,3.7,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA
"NOTCH1",4,3,0,5,4,9,0,44.4,0.8,"LoF Selection","Notch","Notch receptor"
"PCDHA6",6,4.4,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"PCDHA7",9,6.7,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA
"PDZD2",9,6.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"POU2F2",9,6.7,0,8,1,9,0,11.1,0.125,"Neutral/Unclear",NA,NA
"PRDM1",11,8.1,0,4,5,9,0,55.6,1.25,"Strong LoF Selection","Plasma Cell","BLIMP1, plasma cell differentiation"
"PRKCB",7,5.2,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA
"RIMS2",7,5.2,1,6,2,9,11.1,22.2,0.333,"Mixed",NA,NA
"SPEF2",8,5.9,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"TENM2",8,5.9,3,5,1,9,33.3,11.1,0.2,"Neutral/Unclear",NA,NA
"TSHZ3",7,5.2,4,5,0,9,44.4,0,0,"aSHM Passenger",NA,NA
"UNC5C",5,3.7,2,7,0,9,22.2,0,0,"aSHM Passenger",NA,NA
"ZNF600",4,3,1,8,0,9,11.1,0,0,"Hotspot/GoF",NA,NA
"ADAMTS5",5,3.7,4,3,1,8,50,12.5,0.333,"Neutral/Unclear",NA,NA
"ARRDC4",5,3.7,5,3,0,8,62.5,0,0,"aSHM Passenger",NA,NA
"ATRNL1",8,5.9,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"B2M",8,5.9,0,0,8,8,0,100,8,"Strong LoF Selection","Immune Evasion","MHC-I component"
"BIRC6",7,5.2,0,4,4,8,0,50,1,"Strong LoF Selection",NA,NA
"BNC2",5,3.7,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA
"BRAF",8,5.9,1,7,0,8,12.5,0,0,"Hotspot/GoF","MAPK","Serine/threonine kinase"
"CCNB3",8,5.9,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA
"CD36",3,2.2,3,3,2,8,37.5,25,0.667,"Mixed",NA,NA
"CDH12",5,3.7,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA
"CDH19",5,3.7,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA
"CHD4",8,5.9,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"CHM",5,3.7,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA
"COL7A1",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"CPS1",8,5.9,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"DAPK1",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"DDX3X",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"DLC1",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"DMBT1",7,5.2,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA
"DSC3",4,3,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA
"ELAVL2",5,3.7,0,7,1,8,0,12.5,0.143,"Neutral/Unclear",NA,NA
"EPPK1",5,3.7,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA
"FAM47A",4,3,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA
"GRB10",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"GRIN2B",6,4.4,2,4,2,8,25,25,0.5,"Mixed",NA,NA
"HIST1H2AG",8,5.9,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA
"HIST1H2BD",8,5.9,8,0,0,8,100,0,0,"aSHM Passenger",NA,NA
"IGSF9B",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"IL1RAPL2",5,3.7,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA
"KLHL1",3,2.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"MFHAS1",5,3.7,3,5,0,8,37.5,0,0,"aSHM Passenger",NA,NA
"MPEG1",8,5.9,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA
"MYH1",6,4.4,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"MYH10",6,4.4,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"NAV2",6,4.4,0,8,0,8,0,0,0,"Hotspot/GoF",NA,NA
"NBEA",5,3.7,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"NOTCH2",8,5.9,0,2,6,8,0,75,3,"Strong LoF Selection","Notch","Notch receptor (marginal zone)"
"NRAP",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"OCA2",7,5.2,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA
"PCDHA13",5,3.7,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"PCDHA2",6,4.4,4,4,0,8,50,0,0,"aSHM Passenger",NA,NA
"PCDHA5",4,3,5,3,0,8,62.5,0,0,"aSHM Passenger",NA,NA
"PDGFC",5,3.7,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"PPP1R9A",5,3.7,2,4,2,8,25,25,0.5,"Mixed",NA,NA
"PRDM9",5,3.7,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"ROBO1",6,4.4,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"S1PR2",6,4.4,0,8,0,8,0,0,0,"Hotspot/GoF","GC Exit","S1P receptor, GC confinement"
"SCAND3",5,3.7,0,6,2,8,0,25,0.333,"Mixed",NA,NA
"SEMA5A",4,3,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"SLC6A15",6,4.4,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA
"SPEN",7,5.2,1,2,5,8,12.5,62.5,2.5,"Strong LoF Selection",NA,NA
"TBC1D4",7,5.2,3,4,1,8,37.5,12.5,0.25,"Neutral/Unclear",NA,NA
"TNC",6,4.4,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"TNF",8,5.9,2,4,2,8,25,25,0.5,"Mixed",NA,NA
"TRRAP",7,5.2,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"USP34",7,5.2,2,5,1,8,25,12.5,0.2,"Neutral/Unclear",NA,NA
"ZFPM2",3,2.2,1,6,1,8,12.5,12.5,0.167,"Neutral/Unclear",NA,NA
"ZIC4",3,2.2,1,7,0,8,12.5,0,0,"Hotspot/GoF",NA,NA
"ZNF407",6,4.4,5,2,1,8,62.5,12.5,0.5,"Neutral/Unclear",NA,NA
"ZNF521",7,5.2,2,6,0,8,25,0,0,"aSHM Passenger",NA,NA
"ABCC9",6,4.4,0,5,2,7,0,28.6,0.4,"Mixed",NA,NA
"ACTG1",7,5.2,4,3,0,7,57.1,0,0,"aSHM Passenger",NA,NA
"ADAMTS12",6,4.4,3,3,1,7,42.9,14.3,0.333,"Neutral/Unclear",NA,NA
"AKAP6",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"AMBRA1",7,5.2,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"ANK3",7,5.2,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"ANKRD30B",4,3,0,6,1,7,0,14.3,0.167,"Neutral/Unclear",NA,NA
"AR",6,4.4,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"ARHGAP25",7,5.2,2,1,4,7,28.6,57.1,4,"Strong LoF Selection",NA,NA
"ARID1A",4,3,2,2,3,7,28.6,42.9,1.5,"LoF Selection","Chromatin","SWI/SNF chromatin remodeling"
"ASTN2",5,3.7,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"ASXL3",7,5.2,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"ATM",4,3,2,5,0,7,28.6,0,0,"aSHM Passenger",NA,NA
"BCL10",6,4.4,0,3,4,7,0,57.1,1.333,"Strong LoF Selection",NA,NA
"BMP5",4,3,1,5,1,7,14.3,14.3,0.2,"Neutral/Unclear",NA,NA
"BRWD1",5,3.7,1,6,0,7,14.3,0,0,"Hotspot/GoF",NA,NA
"C6orf118",3,2.2,2,4,1,7,28.6,14.3,0.25,"Neutral/Unclear",NA,NA
