"Gene","N_Patients","Pct_Patients","Silent","Missense","Truncating","Total","Pct_Silent","Pct_Trunc","Trunc_Mis_Ratio","Pattern","Pathway","Function","GAMBL_Patients","GAMBL_Missense","GAMBL_Truncating","GAMBL_Total","GAMBL_Pct_Pts","GAMBL_Pct_Trunc","Corrected_Class","Mechanism","Final_Class","In_GAMBL","Validation"
"FAT1",20,14.8,9,27,1,37,24.3,2.7,0.037,"aSHM Passenger","Wnt/Hippo","Protocadherin",NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"LRP1B",17,12.6,10,24,2,36,27.8,5.6,0.083,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"ZFHX4",10,7.4,9,25,2,36,25,5.6,0.08,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CREBBP",28,20.7,0,22,12,34,0,35.3,0.545,"LoF Selection","Chromatin","Histone acetyltransferase, transcriptional coactivator",110,89,28,117,11.4,23.9,"Tumor Suppressor","HAT domain inactivation (missense=LoF)","Tumor Suppressor",TRUE,"~ Partial"
"TP53",31,23,0,26,6,32,0,18.8,0.231,"Mixed","Cell Cycle/Apoptosis","Tumor suppressor, cell cycle checkpoint",90,77,16,93,9.3,17.2,"Tumor Suppressor","DNA-binding hotspots are LoF","Tumor Suppressor",TRUE,"~ Partial"
"IGLL5",15,11.1,9,21,1,31,29,3.2,0.048,"aSHM Passenger","B-cell","Surrogate light chain, aSHM target",NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MUC16",19,14.1,10,20,1,31,32.3,3.2,0.05,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MYC",9,6.7,6,20,1,27,22.2,3.7,0.05,"aSHM Passenger","Proliferation","Transcription factor, aSHM target",45,72,0,72,4.6,0,"aSHM Target","Passenger mutations from AID","aSHM Target",TRUE,"N/A (no silent)"
"PCDH10",11,8.1,7,18,2,27,25.9,7.4,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GNA13",12,8.9,3,17,6,26,11.5,23.1,0.353,"Mixed","GC Exit","G-protein, S1P signaling",79,70,26,96,8.2,27.1,"Tumor Suppressor","GC-exit pathway, scattered LoF missense","Tumor Suppressor",TRUE,"✓ Yes"
"HIST1H1E",16,11.9,4,22,0,26,15.4,0,0,"aSHM Passenger","Chromatin","Linker histone, aSHM target",104,131,4,135,10.7,3,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"ZFP36L1",17,12.6,10,8,8,26,38.5,30.8,1,"LoF Selection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tumor Suppressor",FALSE,"-"
"CARD11",18,13.3,2,23,0,25,8,0,0,"Hotspot/GoF","NF-kB","BCR-NF-kB signaling scaffold",88,93,1,94,9.1,1.1,"Oncogene","Coiled-coil activating mutations","Oncogene",TRUE,"✓ Yes"
"CSMD1",15,11.1,9,14,2,25,36,8,0.143,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"XIRP2",15,11.1,6,16,2,24,25,8.3,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"BCR",11,8.1,8,13,2,23,34.8,8.7,0.154,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"COL11A1",9,6.7,11,8,4,23,47.8,17.4,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SLITRK5",7,5.2,6,16,1,23,26.1,4.3,0.062,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MYD88",22,16.3,0,22,0,22,0,0,0,"Hotspot/GoF","NF-kB","TLR adaptor (L265P = ABC driver)",171,177,0,177,17.6,0,"Oncogene (L265P)","TIR domain constitutive activation","Oncogene (L265P)",TRUE,"✓ Yes"
"SEMA3E",7,5.2,8,13,1,22,36.4,4.5,0.077,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"LRRN3",15,11.1,8,11,2,21,38.1,9.5,0.182,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CD79B",21,15.6,1,16,3,20,5,15,0.188,"Mixed","BCR/NF-kB","BCR signaling (Y196 hotspot)",47,49,3,52,4.9,5.8,"Oncogene (Y196)","ITAM tyrosine - BCR activation","Oncogene (Y196)",TRUE,"✓ Yes"
"DTX1",14,10.4,7,10,3,20,35,15,0.3,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"LPHN3",8,5.9,6,13,1,20,30,5,0.077,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PTPRD",8,5.9,6,11,2,19,31.6,10.5,0.182,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SI",7,5.2,6,11,2,19,31.6,10.5,0.182,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"SYNE1",15,11.1,4,13,2,19,21.1,10.5,0.154,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ACTB",17,12.6,3,14,1,18,16.7,5.6,0.071,"aSHM Passenger",NA,NA,13,14,0,14,1.3,0,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"CACNA2D1",6,4.4,5,12,1,18,27.8,5.6,0.083,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CD70",13,9.6,0,11,7,18,0,38.9,0.636,"LoF Selection",NA,NA,55,39,23,62,5.7,37.1,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"HIST1H1C",16,11.9,1,16,1,18,5.6,5.6,0.062,"Hotspot/GoF","Chromatin","Linker histone, aSHM target",NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"HIST1H2BK",14,10.4,5,12,1,18,27.8,5.6,0.083,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"LRRIQ1",9,6.7,6,10,2,18,33.3,11.1,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"P2RY8",13,9.6,2,15,1,18,11.1,5.6,0.067,"Hotspot/GoF","GC Exit","Purinergic receptor, GC positioning",NA,NA,NA,NA,NA,NA,"Tumor Suppressor","GC-exit pathway, LoF disrupts signaling","Tumor Suppressor",FALSE,"-"
"UNC5D",10,7.4,5,8,5,18,27.8,27.8,0.625,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ANKRD50",6,4.4,1,13,3,17,5.9,17.6,0.231,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DST",20,14.8,6,11,0,17,35.3,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"EPHA7",8,5.9,3,14,0,17,17.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"KLHL6",12,8.9,2,15,0,17,11.8,0,0,"Hotspot/GoF",NA,NA,66,74,4,78,6.8,5.1,NA,NA,"Putative Oncogene",TRUE,"✓ Yes"
"LAMA2",8,5.9,4,12,1,17,23.5,5.9,0.083,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDH15",10,7.4,2,13,2,17,11.8,11.8,0.154,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"TNFRSF14",17,12.6,0,11,6,17,0,35.3,0.545,"LoF Selection","Immune","HVEM, immune checkpoint",78,52,30,82,8,36.6,NA,NA,"Tumor Suppressor",TRUE,"✓ Yes"
"CNTLN",6,4.4,4,10,2,16,25,12.5,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"GRID2",8,5.9,5,10,1,16,31.2,6.2,0.1,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDH17",12,8.9,7,9,0,16,43.8,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"RYR2",11,8.1,6,9,1,16,37.5,6.2,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DMD",9,6.7,5,8,2,15,33.3,13.3,0.25,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FLRT2",8,5.9,5,9,1,15,33.3,6.7,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HIST1H1B",12,8.9,3,12,0,15,20,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HIST1H2BC",8,5.9,6,9,0,15,40,0,0,"aSHM Passenger",NA,NA,19,18,1,19,2,5.3,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"LAMA1",8,5.9,2,13,0,15,13.3,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"NAV3",10,7.4,1,13,1,15,6.7,6.7,0.077,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"PCDH11X",9,6.7,5,9,1,15,33.3,6.7,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PXDN",7,5.2,6,6,3,15,40,20,0.5,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"BCL6",13,9.6,1,12,1,14,7.1,7.1,0.083,"Hotspot/GoF","GC Biology","GC master regulator, aSHM target",45,42,4,46,4.6,8.7,NA,NA,"Putative Oncogene",TRUE,"✓ Yes"
"CDH18",8,5.9,3,8,3,14,21.4,21.4,0.375,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CUBN",7,5.2,3,9,2,14,21.4,14.3,0.222,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DNAH5",13,9.6,4,10,0,14,28.6,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DSCAM",12,8.9,2,10,2,14,14.3,14.3,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"EBF1",13,9.6,1,10,3,14,7.1,21.4,0.3,"Mixed",NA,NA,41,42,5,47,4.2,10.6,NA,NA,"Unclear",TRUE,"?"
"EPHA5",4,3,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GPR98",12,8.9,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GRIA2",7,5.2,3,9,2,14,21.4,14.3,0.222,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HLA-A",12,8.9,0,5,9,14,0,64.3,1.8,"Strong LoF Selection","Immune Evasion","MHC class I",NA,NA,NA,NA,NA,NA,"Tumor Suppressor","Immune evasion","Tumor Suppressor",FALSE,"-"
"LRP2",14,10.4,5,9,0,14,35.7,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MAGEC1",9,6.7,5,8,1,14,35.7,7.1,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PIK3C2G",5,3.7,4,9,1,14,28.6,7.1,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"TENM3",9,6.7,5,9,0,14,35.7,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"TRAM1L1",5,3.7,3,10,1,14,21.4,7.1,0.1,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CD58",9,6.7,0,4,9,13,0,69.2,2.25,"Strong LoF Selection","Immune Evasion","LFA-3, NK/T cell ligand",22,10,17,27,2.3,63,"Tumor Suppressor","Immune evasion","Tumor Suppressor",TRUE,"✓ Yes"
"CDH7",8,5.9,1,12,0,13,7.7,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"COL6A6",10,7.4,5,7,1,13,38.5,7.7,0.143,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CTNNA2",7,5.2,1,10,2,13,7.7,15.4,0.2,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DSEL",6,4.4,1,10,2,13,7.7,15.4,0.2,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FAT3",12,8.9,1,11,1,13,7.7,7.7,0.091,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"HIST1H1D",11,8.1,4,9,0,13,30.8,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HIST1H2AM",14,10.4,6,7,0,13,46.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"KIAA1109",6,4.4,7,6,0,13,53.8,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"MPDZ",4,3,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"SLIT2",7,5.2,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"SPATA31D1",6,4.4,5,8,0,13,38.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"TBL1XR1",13,9.6,0,13,0,13,0,0,0,"Hotspot/GoF",NA,NA,52,53,6,59,5.4,10.2,"Unclear","Recurrent but function unclear","Unclear",TRUE,"?"
"TMSB4X",16,11.9,1,7,5,13,7.7,38.5,0.714,"LoF Selection",NA,NA,22,23,0,23,2.3,0,NA,NA,"Tumor Suppressor",TRUE,"~ Partial"
"ZNF804B",10,7.4,0,13,0,13,0,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"ADAMTS9",9,6.7,2,10,0,12,16.7,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"BRINP3",8,5.9,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DCC",9,6.7,2,10,0,12,16.7,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DGKB",5,3.7,2,9,1,12,16.7,8.3,0.111,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"FBN2",10,7.4,1,9,2,12,8.3,16.7,0.222,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FREM2",7,5.2,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"HLA-B",11,8.1,0,5,7,12,0,58.3,1.4,"Strong LoF Selection","Immune Evasion","MHC class I",NA,NA,NA,NA,NA,NA,"Tumor Suppressor","Immune evasion","Tumor Suppressor",FALSE,"-"
"KLHL14",9,6.7,2,9,1,12,16.7,8.3,0.111,"aSHM Passenger",NA,NA,51,48,22,70,5.3,31.4,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"MEF2B",12,8.9,0,10,2,12,0,16.7,0.2,"Mixed",NA,NA,50,41,11,52,5.2,21.2,"Neomorph/Altered","Changed DNA-binding specificity","Neomorph/Altered",TRUE,"?"
"PKHD1",9,6.7,4,8,0,12,33.3,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PTPRM",9,6.7,5,7,0,12,41.7,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"SLITRK6",8,5.9,0,11,1,12,0,8.3,0.091,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"TACC2",11,8.1,3,8,1,12,25,8.3,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"THSD7A",9,6.7,6,5,1,12,50,8.3,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ZNF608",9,6.7,4,6,2,12,33.3,16.7,0.333,"Mixed",NA,NA,68,74,11,85,7,12.9,NA,NA,"Unclear",TRUE,"?"
"ABCA13",11,8.1,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"AHNAK2",9,6.7,4,6,1,11,36.4,9.1,0.167,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"ANKRD30A",6,4.4,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"CDH10",4,3,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"CNTN5",6,4.4,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"DNAH17",6,4.4,5,5,1,11,45.5,9.1,0.2,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"FLG",10,7.4,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"GRIK2",7,5.2,1,8,2,11,9.1,18.2,0.25,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HIST2H2BE",9,6.7,3,6,2,11,27.3,18.2,0.333,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"HMCN1",8,5.9,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"IRF8",10,7.4,2,6,3,11,18.2,27.3,0.5,"Mixed",NA,NA,61,53,12,65,6.3,18.5,NA,NA,"Unclear",TRUE,"?"
"ITPKB",10,7.4,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"LPHN2",6,4.4,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"LRRC7",11,8.1,2,7,2,11,18.2,18.2,0.286,"Mixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"MAP2",9,6.7,2,9,0,11,18.2,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"NALCN",5,3.7,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"NEB",9,6.7,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PCDH9",4,3,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"PREX2",7,5.2,1,9,1,11,9.1,9.1,0.111,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"RELN",11,8.1,1,10,0,11,9.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"SACS",6,4.4,5,6,0,11,45.5,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"SDK1",9,6.7,4,7,0,11,36.4,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"SLITRK3",6,4.4,1,10,0,11,9.1,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"SOCS1",7,5.2,4,5,2,11,36.4,18.2,0.4,"Mixed","JAK-STAT","JAK-STAT inhibitor",87,120,16,136,9,11.8,NA,NA,"Unclear",TRUE,"?"
"STAT3",10,7.4,1,10,0,11,9.1,0,0,"Hotspot/GoF","JAK-STAT","Transcription factor",34,37,0,37,3.5,0,"Oncogene","Activating mutations","Oncogene",TRUE,"✓ Yes"
"TAF1",10,7.4,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA,34,35,0,35,3.5,0,NA,NA,"aSHM Target",TRUE,"N/A (no silent)"
"TUSC3",7,5.2,2,8,1,11,18.2,9.1,0.125,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"VCAN",10,7.4,3,7,1,11,27.3,9.1,0.143,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"BAI3",6,4.4,2,7,1,10,20,10,0.143,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"CADM2",9,6.7,1,9,0,10,10,0,0,"Hotspot/GoF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Putative Oncogene",FALSE,"-"
"CEP290",3,2.2,3,4,3,10,30,30,0.75,"LoF Selection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tumor Suppressor",FALSE,"-"
"DNAH7",10,7.4,0,9,1,10,0,10,0.111,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
"DOCK1",8,5.9,3,7,0,10,30,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"EGR1",8,5.9,5,5,0,10,50,0,0,"aSHM Passenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aSHM Target",FALSE,"-"
"EP300",10,7.4,1,7,2,10,10,20,0.286,"Mixed","Chromatin","Histone acetyltransferase",56,50,7,57,5.8,12.3,"Tumor Suppressor","HAT domain inactivation","Tumor Suppressor",TRUE,"~ Partial"
"EZH2",9,6.7,0,10,0,10,0,0,0,"Hotspot/GoF","Chromatin","H3K27 methyltransferase (GoF in GCB)",61,61,0,61,6.3,0,"Oncogene (Y646)","SET domain GoF - H3K27 hypermethylation","Oncogene (Y646)",TRUE,"✓ Yes"
"FAM135B",7,5.2,7,2,1,10,70,10,0.5,"Neutral/Unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear",FALSE,"-"
