Gene,N_truncating,N_wildtype,Pct_mutated,HR,HR_lower,HR_upper,Cox_pval,LogRank_pval,Death_rate_mut,Death_rate_wt,FDR,Direction
SETD1B,14,953,1.4,1.3254517374953585,0.5472333374471385,3.210371496417047,0.5324678418508697,0.5302742790510355,35.7,31.5,0.9136642173090322,Worse
S1PR2,5,962,0.5,0.5379853507869895,0.07552231655532429,3.8323538109345194,0.5360230380855425,0.529049232022312,20,31.6,0.9136642173090322,Better
NFKBIE,6,961,0.6,1.521415382847621,0.37817950340468615,6.1206510303347414,0.5546199639717045,0.5522667546228706,33.3,31.5,0.9136642173090322,Worse
ZEB2,16,951,1.7,0.7465886791005032,0.27825802675616,2.003157509089519,0.5616812627227743,0.5599869520543612,25,31.7,0.9136642173090322,Better
BCL7A,8,959,0.8,0.6731741771551664,0.16753319142287515,2.7049175685115014,0.5770510846162309,0.5746253571872685,25,31.6,0.9136642173090322,Better
TBL1XR1,6,961,0.6,0.5935323315974971,0.08330400081174792,4.228856059958659,0.6025765286610546,0.5984029391497745,16.7,31.6,0.9282935711805436,Better
UBE2A,6,961,0.6,0.636462835331565,0.08930372370247269,4.536036393150744,0.6520416996717249,0.6492827186665848,16.7,31.6,0.9719741288180256,Better
ATM,9,958,0.9,0.7466913927254383,0.18582315269798047,3.000422863756063,0.6806139674768213,0.6799849526956198,22.2,31.6,0.9719741288180256,Better
XPO1,6,961,0.6,0.7477173912443449,0.18603189620417157,3.0052980621970997,0.6820871079424741,0.6811337536118902,33.3,31.5,0.9719741288180256,Better
EBF1,5,962,0.5,1.3026357950885668,0.32414130165675487,5.234939225495211,0.7094886429602361,0.7102672822310494,40,31.5,0.9726518851815853,Worse
MAGT1,9,958,0.9,0.7729691187560933,0.19236183583710564,3.106028053592324,0.7166908627653786,0.7158887776507334,22.2,31.6,0.9726518851815853,Better
TNFRSF14,28,939,2.9,0.8940934123440037,0.4429291325412472,1.804810230951565,0.7547600239789978,0.7548348447693737,28.6,31.6,0.9911643202233481,Better
IRF8,14,953,1.4,0.8706436794585464,0.3245406805249092,2.3356714953425883,0.7832204438737584,0.7831346019912651,28.6,31.6,0.9911643202233481,Better
CDKN2A,8,959,0.8,1.1632810273484169,0.37288777111918453,3.6290349359734386,0.79443941354984,0.7936947370764459,37.5,31.5,0.9911643202233481,Worse
TMEM30A,26,941,2.7,1.0799354821811713,0.5908733606668517,1.973791210281765,0.8026385623796726,0.8029496032282111,42.3,31.2,0.9911643202233481,Worse
RB1,13,954,1.3,0.9013301142458413,0.28898141183035636,2.8112395524018345,0.8579417289038087,0.8574720447882129,23.1,31.7,0.9911643202233481,Better
HNRNPU,6,961,0.6,0.893816690510539,0.22240251481425358,3.592172853362049,0.8743236529536218,0.8741414653553922,33.3,31.5,0.9911643202233481,Better
FUBP1,5,962,0.5,1.0961933555532941,0.2727266773172666,4.406022485879908,0.8970422445178667,0.8962789002015922,40,31.5,0.9911643202233481,Worse
BIRC6,8,959,0.8,0.9323721141368014,0.2974595107982967,2.9224742449381673,0.9043800834073826,0.9035085116285252,37.5,31.5,0.9911643202233481,Better
CHST2,5,962,0.5,1.0807924836690486,0.2683023901662146,4.353715939809032,0.9129719509339854,0.9135700382877503,40,31.5,0.9911643202233481,Worse
SETD5,9,958,0.9,0.9577350178341505,0.3068586598700455,2.989181940552821,0.9407211380895802,0.940525579241398,33.3,31.5,0.9911643202233481,Better
TOX,11,956,1.1,1.0419134465937614,0.33370602596398774,3.2531136561197207,0.9436517813603784,0.943612903454437,27.3,31.6,0.9911643202233481,Worse
GNA13,27,940,2.8,0.9798344050489647,0.4853319850810569,1.9781829568832416,0.9546785182238362,0.9549252633704421,29.6,31.6,0.9911643202233481,Better
ZNF608,9,958,0.9,3.0024552095479376e-7,0,Inf,0.9882495970749722,0.07343224390889291,0,31.8,0.9911643202233481,Better
CXCR4,5,962,0.5,3.028446226789946e-7,0,Inf,0.9910851651194377,0.17603804637234433,0,31.7,0.9911643202233481,Better
CCND3,10,957,1,1.0064492627347885,0.32260172948869087,3.1399091383200695,0.9911643202233481,0.990580114985008,30,31.6,0.9911643202233481,Worse
